Category,Keyword,Description?
Food,food bank,
Clothing,clothing closet,
Household Goods,free store,
Food,food pantry,
Housing,shelter,
Training and other services,Employment First Program,
Food,soup kitchen,
Food,food drive,
Food,food distribution center,
Food,food stamps,
Food,WIC,"food assistance for women, infants, and children"
Food,SNAP,"same thing as food stamps, but new name (2008) - many people still call SNAP food stamps, though, so good to keep that in here as keyword"
Food,Commissary Kitchen,free or low-fee kitchen where local people/food entrepreneurs can cook in health-dept approved facility
Food,Community Kitchen,free or low-fee kitchen where local people/food entrepreneurs can cook in health-dept approved facility
Food,Community Garden ,
Housing,Homeless Shelter,
Housing,Womens' Shelter,
Housing,Youth Shelter,
Clothing,Clothing Donations,
Food,Food Donations,
Training and other services,Library,
Training and other services,Community Center,
Training and other services,Job Training,
Training and other services,Employment Center,
Housing,Childrens Shelter,
Housing,Family Shelter,
