,name,latitude,longitude,vicinity,Clothing,Food,Household Goods,Housing,Training and other services,Notes,website
0,412 Food Rescue,40.462826,-79.92193739999999,"6140 Station St, Pittsburgh",,1.0,,,,,http://www.412foodrescue.org/
1,5480 Black St,40.4694647,-79.93004789999999,"Black St #5480, Pittsburgh",,1.0,,,,,https://www.jamesstsensory.org/
2,A Childs Wardrobe and adults too!,40.4322063,-79.9232648,"2200 Murray Ave, Pittsburgh",1.0,,,,,,
3,A Giving Heart,40.4199218,-79.99291219999999,"816 Climax St, Pittsburgh",,,,1.0,,,http://www.agivingheart.org/
4,A-Line Staffing Solutions,40.4286737,-79.8113226,"201 Penn Center Blvd Suite 306, Pittsburgh",,,,,1.0,,https://www.alinestaffing.com/
5,ABC Staffing LLC,40.4383265,-79.99907689999999,"One Oxford Centre, 301 Grant St Suite 270, Pittsburgh",,,,,1.0,,https://www.abcstaffingpgh.com/
6,ACT 1 Personnel Services,40.4287384,-80.12365319999999,"2 Penn Center Blvd # 225, Pittsburgh",,,,,1.0,,https://www.act-1.com/
7,ADAPT Career Coaching,40.424521,-79.92942409999999,"4122 Windsor St, Pittsburgh",,,,,1.0,,http://www.adaptcareercoach.com/
8,Abiding Missions,40.422965,-79.99463,"731 Excelsior St, Pittsburgh",,,,1.0,,,http://abidingmissions.org/
9,Academy Pittsburgh,40.42167329999999,-79.9940954,"744 E Warrington Ave, Pittsburgh",,,,,1.0,,http://academypgh.com/
10,Accessibility Matters,40.42415740000001,-79.94867359999999,"49 Bigelow St, Pittsburgh",,,,,1.0,,
11,Action Housing Inc,40.441444,-79.996498,"611 William Penn Pl #800, Pittsburgh",,,,1.0,,,http://www.actionhousing.org/
12,Aerotek,40.4279305,-79.81128230000002,"400 Penn Center Blvd Suite 211, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh-east?ecid=ls_aero_mozbizlist_160802_123614
13,Aerotek,40.431076,-80.12655629999999,"8 Penn Center Blvd Suite 101, Pittsburgh",,,,,1.0,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh?ecid=ls_aero_mozbizlist_160802_123613
14,African Healing Garden,40.4637597,-79.9130181,Pittsburgh,,1.0,,,,,https://www.africanhealinggarden.org/
15,Aldama's Closet,40.4978303,-80.0535446,"481 Dawson Ave, Pittsburgh",1.0,,,,,,
16,Allegheny Abused Animal Relief Fund,40.4424701,-80.0009554,"625 Liberty Ave, Pittsburgh",,,,1.0,,,
17,Allegheny Commons Community Gardens,40.450938,-80.0021118,"300 Stockton Ave, Pittsburgh",,1.0,,,,,https://www.ioby.org/project/allegheny-commons-community-garden
18,Allegheny County Assistance Office - Greater Pittsburgh East,40.4618572,-79.9252604,"5947 Penn Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
19,Allegheny County Assistance Office - Three Rivers District,40.4397934,-79.9997585,"342 Fifth Ave, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
20,Allegheny County Assistance Office Liberty District,40.4401692,-79.99947089999999,"332 Fifth Ave #300, Pittsburgh",,1.0,,,,,http://www.dhs.pa.gov/
21,"Allegheny County Children, Youth and Families: North Regional Office",40.4552688,-80.01822659999999,"901 Pennsylvania Ave, Pittsburgh",,1.0,,,,,http://alleghenycounty.us/Human-Services/Programs-Services/Children-Families/Child-Protection.aspx
22,Allegheny County Human Services,40.4389085,-80.00123599999999,"304 Wood St, Pittsburgh",,1.0,,,,,https://www.alleghenycounty.us/human-services/index.aspx
23,Allendale Acres Community Garden,40.4554151,-80.0607557,Pittsburgh,,1.0,,,,,http://pittsburghurbangardens.com/allendale-acres-community-garden
24,Ammon Community Recreation Center,40.4486657,-79.9779648,"2217 Bedford Ave, Pittsburgh",,,,,1.0,,http://pittsburghpa.gov/citiparks/ammon
25,Amvets,40.429784,-80.0537772,"2226 Noblestown Rd, Pittsburgh",1.0,,,,,,https://amvets.org/
26,Anderson Shelter,40.4354818,-79.947908,Pittsburgh,,,,1.0,,,http://www.pittsburghparks.org/schenley
27,Animal Advocates,40.440583,-80.034447,"35 Wabash St, Pittsburgh",,,,1.0,,,http://animaladvocates.net/
28,Animal Friends,40.5218665,-80.0796451,"562 Camp Horne Rd, Pittsburgh",,,,1.0,,,http://www.thinkingoutsidethecage.org/
29,Animal Full Life Rescue,40.4369019,-79.88370689999999,"906 Ramsey St, Pittsburgh",,,,1.0,,,https://www.aflr.org/contact-us
30,AppleOne Employment Services,40.4287384,-80.12365319999999,"2 Penn Center Blvd #210, Pittsburgh",,,,,1.0,,http://www.appleone.com/
31,Arbor Career Center,40.4414408,-79.99667389999999,"425 Sixth Ave #2000, Pittsburgh",,,,,1.0,,
32,Auberle 412 Youth Zone,40.4389815,-80.0014103,"304 Wood St, Pittsburgh",,,,1.0,,,https://www.auberle.org/the-412-youth-zone
33,BGC Activity Center,40.465224,-79.940089,"113 N Pacific Ave, Pittsburgh",,,,,1.0,,https://bloomfield-garfield.org/other-projects/activity-center/
34,Ballfield Farm,40.4690014,-80.0165495,"Crispen St, Pittsburgh",,1.0,,,,,http://www.ballfieldfarm.com/
35,Bandi Schaum Community Garden,40.4227835,-79.975396,Pittsburgh,,1.0,,,,,
36,Bartlett Shelter,40.4334705,-79.93591719999999,"Bartlett St, Pittsburgh",,,,1.0,,,
37,Baum Grove,40.4589723,-79.93533359999999,"400 Roup Ave, Pittsburgh",,1.0,,,,,https://www.friendship-pgh.org/
38,Bay Foods distribution center,40.4420518,-80.0213624,"1600 W Carson St, Pittsburgh",,1.0,,,,,
39,Bedford Hope Center,40.4496577,-79.9754452,"2305 Bedford Ave, Pittsburgh",,,,,1.0,,http://www.justharvest.org/venue/bedford-hope-center/
40,"Belcan, LLC",40.4160741,-80.0453941,"1016 Greentree Rd Suite 200, Pittsburgh",,,,,1.0,,https://belcan.com/
41,Beltzhoover Community Center 407,40.4181161,-80.0051192,"407 Gearing Ave, Pittsburgh",,,,,1.0,,
42,Bethlehem Haven,40.4384625,-79.99149059999999,"905 Watson St, Pittsburgh",,,,1.0,,,https://www.bethlehemhaven.org/
43,Bethlehem Haven,40.43849,-79.98595499999999,"1410 Fifth Ave, Pittsburgh",,,,1.0,,,https://bethlehemhaven.org/
44,Bethlehem Haven - Food Distribution Center,40.43865419999999,-79.9907791,Pittsburgh,,1.0,,,,,http://www.bethlehemhaven.org/
45,Bethlehem Haven Medical Respite,40.4386459,-79.9914316,"905 Watson St, Pittsburgh",,,,1.0,,,https://bethlehemhaven.org/housing-programs/
46,Better Living Community Center - Food Distribution Center,40.4444421,-79.8843899,"105 Wood St, Pittsburgh",,1.0,,,,,
47,Bidwell Training Center,40.45709919999999,-80.0319344,"1815 Metropolitan St, Pittsburgh",,,,,1.0,,https://www.bidwelltraining.edu/
48,Birthright of Pittsburgh Inc,40.4495245,-79.9501241,"160 N Craig St STE 209, Pittsburgh",,,,1.0,,,http://birthrightpittsburgh.org/
49,Blair-Lippincott Library,40.4417882,-79.95970710000002,"200 Lothrop St, Pittsburgh",,,,,1.0,,
