asset_id,name,category,vicinity,latitude,longitude,website
0,Revere Community Center,Community Centers,"26 Penn St, Uniontown",39.8959299,-79.7855899,
1,East End United Community Center,Community Centers,"150 Coolspring St, Uniontown",39.897878,-79.711248,https://www.eeucc.org/
2,Penn State Fayette Community Center,Community Centers,"2201 University Dr, Uniontown",39.9458424,-79.6605064,
3,South Union Recreation Center,Community Centers,"151 Township Dr, Uniontown",39.8805178,-79.7170082,https://www.southuniontwp.com/index.php/our-area/rec-center
4,Uniontown Adult Recreation Center,Community Centers,"137 N Beeson Blvd, Uniontown",39.905677,-79.7257597,http://www.fccaa.org/
5,"Fayette County Community Action Agency, Inc. - Food Distribution Center",Community Centers,Uniontown,39.904565,-79.725452,http://www.fccaa.org/
6,North Union Township Recreation Center,Community Centers,"120 Commonwealth Dr, Lemont Furnace",39.9217245,-79.6728814,http://www.northunionreccenter.com/
7,Dress For Success Pittsburgh,Financial Assistance,"82 W South St, Uniontown",39.9004971,-79.7288102,https://pittsburgh.dressforsuccess.org/
8,The Salvation Army Thrift Store & Donation Center,Financial Assistance,"54 N Mt Vernon Ave, Uniontown",39.9020625,-79.7301159,https://satruck.org/
9,Target,Financial Assistance,"120 Matthew Dr, Uniontown",39.9078527,-79.7587381,https://www.target.com/sl/south-union-twp/2184
10,Goodwill,Financial Assistance,"1003 Mall Run Rd, Uniontown",39.909825,-79.750984,https://www.goodwillswpa.org/
11,Walmart Supercenter,Financial Assistance,"355 Walmart Dr, Uniontown",39.9141832,-79.7563911,https://www.walmart.com/store/2019-uniontown-pa?cn=Tracking_local_pack_1
12,The Home Depot,Financial Assistance,"115 Matthew Dr, Uniontown",39.9082048,-79.7525156,https://www.homedepot.com/l/Uniontown/PA/Uniontown/15401/4172
14,St Vincent De Paul Society,Financial Assistance,"70 N Mt Vernon Ave, Uniontown",39.9032036,-79.7289225,https://stvincentdepauluniontown.org/merchandise/
16,Salvation Army,Financial Assistance,"32 W Fayette St, Uniontown",39.8991442,-79.7270104,https://easternusa.salvationarmy.org/western-pennsylvania/uniontown/
18,Fayette County Community Action Agency Food Bank,Food Access,"40 Legion St, Republic",39.906063,-79.7253,http://www.fccaa.org/
19,Christian Life Ministries - Food Distribution Center,Food Access,Uniontown,39.9020996,-79.7241821,
20,Jubilee Soup Kitchen - Food Distribution Center,Food Access,"230 E Fayette St, Uniontown",39.8954999,-79.7175982,
21,"Fayette County Community Action Agency, Inc. - Food Distribution Center",Food Access,Uniontown,39.904565,-79.725452,http://www.fccaa.org/
22,Hopwood Free Methodist Church,Food Access,"116 Hopwood Coolspring Rd, Hopwood",39.8749881,-79.6986625,
27,Berean Seventh Day Adventist,Food Access,"110 Searight Ave, Uniontown",39.8971702,-79.7106391,
28,Salvation Army,Food Access,"32 W Fayette St, Uniontown",39.8991442,-79.7270104,https://easternusa.salvationarmy.org/western-pennsylvania/uniontown/
29,Calvary United Methodist Church,Food Access,"34 Clarke Ave, Uniontown",39.8996487,-79.708688,https://uniontowncalvary.org/
30,Liberty Baptist,Food Access,"183 Oliver Rd, Uniontown",39.9218553,-79.7134324,http://libertybaptistofuniontown.com/
31,Jubille Soup Kitchen,Food Access,"230 E Fayette St, Uniontown",39.8954581,-79.7176352,
32,Youghiogheny Western Baptist,Food Access,Uniontown,39.9000824,-79.716399,http://www.theywba.org/about-us/
33,St Vincent De Paul Society,Food Access,"70 N Mt Vernon Ave, Uniontown",39.9032036,-79.7289225,https://stvincentdepauluniontown.org/merchandise/
34,Fresh Fire Church,Food Access,"171 Connellsville St, Uniontown",39.9002702,-79.7106708,http://www.freshfirechurch.net/
38,Uniontown Community Storehouse,Food Access,"15 Bouquet St, Uniontown",39.9005374,-79.701543,
39,City Mission Mens Shelter,Food Access,"226 E Fayette St, Uniontown",39.8955608,-79.7177927,
44,Wendy's,Food Access,"125 Matthew Dr, Uniontown",39.9080313,-79.7552283,https://locations.wendys.com/united-states/pa/uniontown/125-matthew-drive?utm_source=Yext&utm_medium=Google_My_Business&utm_campaign=Local_Search&utm_content=EN_US
45,Sonic Drive-In,Food Access,"705 Walmart Dr, Uniontown",39.9136511,-79.7537882,https://locations.sonicdrivein.com/pa/uniontown/705-walmart-drive.html
46,Arby's,Food Access,"515 Synergy Drive, Uniontown",39.914698,-79.751639,https://locations.arbys.com/pa/uniontown/515-synergy-dr.html
47,NCH Hospitality Llc,Food Access,"705 Walmart Dr, Uniontown",39.9136467,-79.7537882,
48,Vinny's Drive Inn,Food Access,"1225 Connellsville Rd, Uniontown",39.9154044,-79.6828371,
53,Fayette County Assistance Office,Food Access,"41 W Church St, Uniontown",39.8996676,-79.7270429,http://www.dhs.pa.gov/
54,Uniontown WIC Office,Food Access,"140 N Beeson Blvd, Uniontown",39.9060631,-79.7253,https://fccaa.org/programs/women-infants-and-children/
56,SRC Industries Inc,Food Access,"164 Jr St, Hopwood",39.8787852,-79.6969435,http://www.hawthornsyrup.com/
57,The United Federal Credit Union,Food Access,"585 Morgantown Rd, Uniontown",39.8825958,-79.7349514,https://www.tufcu.org/
58,Christ United Methodist Church,Food Access,"6 W Fayette St, Uniontown",39.898749,-79.7259116,
66,City Mission Mens Shelter,Housing,"226 E Fayette St, Uniontown",39.8955608,-79.7177927,
67,"City Mission-Living Stones, Inc.",Housing,"155 N Gallatin Ave, Uniontown",39.9068065,-79.7225727,http://www.citymissionfayette.org/
68,Jubille Soup Kitchen,Housing,"230 E Fayette St, Uniontown",39.8954581,-79.7176352,
69,Savannah House Charities,Housing,"110 Delaware Ave, Uniontown",39.9013032,-79.743865,https://savannahhouse.info/about-us/
70,Shelter Regina M,Housing,"119 N Beeson Blvd, Uniontown",39.9049161,-79.7259877,
71,Salvation Army,Housing,"32 W Fayette St, Uniontown",39.8991442,-79.7270104,https://easternusa.salvationarmy.org/western-pennsylvania/uniontown/
72,Western Pennsylvania National Wild Animal Orphanage,Housing,"169 Shepard Ln, Uniontown",39.9322486,-79.687901,
73,Jubilee Soup Kitchen - Food Distribution Center,Housing,"230 E Fayette St, Uniontown",39.8954999,-79.7175982,
74,Catholic Charities,Housing,"140 N Beeson Blvd, Uniontown",39.9060382,-79.7253646,http://www.ccharitiesgreensburg.org/
83,Dress For Success Pittsburgh,Housing,"82 W South St, Uniontown",39.9004971,-79.7288102,https://pittsburgh.dressforsuccess.org/
85,Fayette County Children Services,Housing,"130 Old New Salem Rd, Uniontown",39.9110516,-79.7511766,http://fayette-county-uniontown.keeq.io/
91,Uniontown Public Library,Libraries,"24 Jefferson St, Uniontown",39.8994623,-79.722642,http://www.uniontownlib.org/
92,Little Free Library #49891,Libraries,Uniontown,39.9004424,-79.7245759,
93,Little Free Library #49896,Libraries,"70 E Main St, Uniontown",39.9012006,-79.7229062,
94,Little Free Library #49895,Libraries,"W Main St, Uniontown",39.9008623,-79.7305153,
95,Little Free Library #49894,Libraries,Uniontown,39.8651328,-79.7156557,
96,Hospital Professional Library,Libraries,"500 W Berkeley St, Uniontown",39.901797,-79.738542,
97,"Fayette Campus Library, Penn State Fayette",Libraries,"2201 University Dr, Lemont Furnace",39.9463774,-79.6595002,https://libraries.psu.edu/fayette
98,Fayette County Law Library,Libraries,"61 E Main St D, Uniontown",39.9017756,-79.7226353,https://www.fayettecountypa.org/403/Law-Library
99,South Union Township Sports Academy,Cultural,"181 Stadium Dr, Uniontown",39.864876,-79.7135154,
100,State Theatre Center For the Arts,Cultural,"37 E Main St, Uniontown",39.901564,-79.724501,http://www.statetheatre.info/
101,GoldiRock Records / Entertainment,Cultural,"39 W Main St, Uniontown",39.9010534,-79.726731,http://www.goldirockrecords.com/
102,Storey Square,Cultural,"11 E Main St, Uniontown",39.9015398,-79.7248636,
103,Uniontown Church of the Brethren,Cultural,"20 Robinson St, Uniontown",39.8970407,-79.7276073,http://www.cobuniontown.net/
104,Uniontown Larger Parish,Cultural,"1264 W Penn Blvd, Uniontown",39.9171962,-79.6938903,
105,Cherry Tree Alliance Church,Cultural,"640 Cherry Tree Ln, Uniontown",39.8994273,-79.7548769,http://www.cherrytreealliance.org/
106,Grace Brethren Church,Cultural,"1 Grace Ln, Uniontown",39.8817444,-79.7267332,https://www.uniontowngrace.org/
107,City Chapel Church,Cultural,"254 E Main St, Uniontown",39.8979036,-79.716798,
108,Central Christian Church,Cultural,"23 S Gallatin Ave, Uniontown",39.9004248,-79.7239735,http://www.cccuniontown.org/
109,Uniontown Church of God-Christ,Cultural,"55 Butler St, Uniontown",39.8969205,-79.7109354,
110,New Beginnings Covenant Church,Cultural,"171 Connellsville St, Uniontown",39.900313,-79.710691,
111,Christ United Methodist Church,Cultural,"6 W Fayette St, Uniontown",39.898749,-79.7259116,
112,Grace Community Church,Cultural,"343 Pennsylvania Ave, Uniontown",39.8933657,-79.7230646,
113,Uniontown Church of Christ,Cultural,"70 Roosevelt Dr, Uniontown",39.8888925,-79.710801,https://uniontowncofc.org/
114,Abundant Life Church,Cultural,"1239 Brownfield Rd, Uniontown",39.8675938,-79.721739,https://www.myabundantlife.org/
115,Sandy Hill Church,Cultural,Uniontown,39.9103538,-79.7731006,
116,Connellsville Street Church of Christ,Cultural,"519 Connellsville St, Uniontown",39.9036283,-79.6984791,http://www.churchofchristuniontown.org/
117,Faith Assembly of God,Cultural,"690 Morgantown Rd, Uniontown",39.8754023,-79.741317,http://www.myfaithassembly.org/
118,FirSt Methodist churh,Cultural,"337 Hopwood Coolspring Rd, Hopwood",39.8878337,-79.6858712,
119,The Church of Jesus Christ of Latter-day Saints,Cultural,"Wendy Dr & Barbara St, Uniontown",39.9204907,-79.7295364,https://www.churchofjesuschrist.org/?lang=eng
120,Bible Baptist Church,Cultural,"1 Evergreen Terrace, Uniontown",39.9000148,-79.7339802,http://www.biblebaptistuniontown.com/
121,Calvary Baptist Church,Cultural,"308 McClellandtown Rd, Uniontown",39.9018744,-79.7631181,http://cbcfamily.church/
122,Great Bethel Baptist Church,Cultural,"47 W Fayette St, Uniontown",39.898758,-79.727619,
123,New Beginning Full Gospel Church,Cultural,"93 Jefferson St, Uniontown",39.897881,-79.719545,
124,Covenant Baptist Church,Cultural,"148 Union St, Uniontown",39.8948328,-79.7303344,https://covenantbaptistpa.com/
125,Uniontown Church of the Nazarene,Cultural,"8 Jeffreys Ln, Uniontown",39.8508788,-79.7457033,
126,St Peters Lutheran Church,Cultural,"121 Walnut Hill Rd, Uniontown",39.8840926,-79.7370206,http://splcuniontown.org/
127,Calvary Apostolic Church,Cultural,"127 Rolling Hills Estate Rd, Uniontown",39.9270821,-79.7006822,http://www.calvaryapostolicchurch.org/
128,Fresh Fire Church,Cultural,"171 Connellsville St, Uniontown",39.9002702,-79.7106708,http://www.freshfirechurch.net/
129,Trinity United Presbyterian,Cultural,"79 W Fayette St, Uniontown",39.8991096,-79.7285085,https://www.trinityupc.com/
130,Community United Methodist Church,Cultural,"1264 W Penn Blvd, Uniontown",39.91726,-79.6938171,http://www.wpaumc.org/churchdetail/218251
131,Calvary United Methodist Church,Cultural,"34 Clarke Ave, Uniontown",39.8996487,-79.708688,https://uniontowncalvary.org/
132,Third Presbyterian Church,Cultural,"425 Union St, Uniontown",39.8875363,-79.7318815,http://3rdpres.com/
133,Mt Rose Baptist Church,Cultural,"9 S Grant St, Uniontown",39.8968519,-79.7165508,
134,Mt Olivet Baptist Church,Cultural,"57 Stewart Ave, Uniontown",39.8970968,-79.718103,
