,name,category,vicinity,latitude,longitude,website
0,CONN AREA CATHOLIC SCHOOL,Private Elementary and High Schools,"613 E CRAWFORD AVE, CONNELLSVILLE",40.026792,-79.580071,
1,NEW MEADOW RUN SCHOOL,Private Elementary and High Schools,"101 NEW MEADOW RUN DR, FARMINGTON",39.80356,-79.556781,
2,VERNA MONTESSORI SCHOOL,Private Elementary and High Schools,"268 PRITTSTOWN RD, MOUNT PLEASANT",40.094165,-79.540454,
3,MT CARMEL CHRISTIAN SCHOOL,Private Elementary and High Schools,"1231 MOUNT PLEASANT RD, MOUNT PLEASANT",40.098516,-79.555453,
4,MOUNT MORIAH CHRISTIAN SCHOOL,Private Elementary and High Schools,"30 CHURCH ST, SMITHFIELD",39.803629,-79.812238,
5,BIBLE BAPTIST ACADEMY,Private Elementary and High Schools,"1 EVERGREEN TER, UNIONTOWN",39.9,-79.733851,
6,NEW DIRECTIONS,Private Elementary and High Schools,"125 CHAFFEE ST, UNIONTOWN",39.893429,-79.703286,
7,CHAMPION CHRISTIAN SCHOOL,Private Elementary and High Schools,"2166 INDIAN HEAD RD, CHAMPION",40.024083,-79.382033,
8,AG MONTESSORI SCHOOL,Private Elementary and High Schools,"199 EDISON ST, UNIONTOWN",39.91761,-79.694531,
9,CHESTNUT RIDGE CHRISTIAN ACADEMY,Private Elementary and High Schools,"115 DOWNER AVE, UNIONTOWN",39.90828,-79.731001,
10,Albert Gallatin North MS,Public Elementary and High Schools,"113 College Avenue, McClellandtown",39.884972,-79.871932,
11,Albert Gallatin South MS,Public Elementary and High Schools,"224 New Geneva Road, Point Marion",39.7783,-79.9185,
12,George J Plava El Sch,Public Elementary and High Schools,"120 Puritan Rd, Mc Clellandtown",39.8848,-79.8633,
13,Smithfield El Sch,Public Elementary and High Schools,"23 Liberty St, Smithfield",39.8026,-79.8047,
14,Friendship Hill El Sch,Public Elementary and High Schools,"218 New Geneva Rd, Point Marion",39.7798,-79.918,
15,Albert Gallatin Area SHS,Public Elementary and High Schools,"1119 Twp Dr, Uniontown",39.8273,-79.7849,
16,Masontown El Sch,Public Elementary and High Schools,"201 Spring St, Masontown",39.8482,-79.9029,
17,Marion El Sch,Public Elementary and High Schools,"500 Perry Ave, Belle Vernon",40.1129,-79.8324,
18,Brownsville Area MS,Public Elementary and High Schools,"Three Falcon Drive, Brownsville",40.007,-79.8933,
19,Brownsville Area HS,Public Elementary and High Schools,"One Falcon Drive, Brownsville",40.0064,-79.8939,
20,Bullskin El Sch,Public Elementary and High Schools,"125 Pleasant Valley Rd, Connellsville",40.0567,-79.5593,
21,Connellsville Area MS,Public Elementary and High Schools,"Locust Street Extension, Connellsville",40.0224,-79.5703,
22,Springfield El Sch,Public Elementary and High Schools,"14 School House Road, Normalville",39.9995,-79.4475,
23,West Crawford El Sch,Public Elementary and High Schools,"215 Falls Avenue, Connellsville",40.011559,-79.616207,
24,Dunbar Twp El Sch,Public Elementary and High Schools,"711 Ridge Blvd, Connellsville",40.0203,-79.618,
25,Connellsville Area SHS,Public Elementary and High Schools,"201 Falcon Drive, Connellsville",40.0249,-79.5742,
26,Frazier HS,Public Elementary and High Schools,"142 Constitution St, Perryopolis",40.088222,-79.755003,
27,Frazier El Sch,Public Elementary and High Schools,"142 Constitution St, Perryopolis",40.088222,-79.755003,
28,Frazier MS,Public Elementary and High Schools,"142 Constitution St, Perryopolis",40.088132,-79.754155,
29,Clark El Sch,Public Elementary and High Schools,"200 Water St, Uniontown",39.9124,-79.7033,
30,Hatfield El Sch,Public Elementary and High Schools,"370 Derrick Ave, Uniontown",39.8797,-79.7279,
31,Hutchinson El Sch,Public Elementary and High Schools,"213 Mountain View Road, Uniontown",39.8612,-79.7083,
32,Marshall El Sch,Public Elementary and High Schools,"335 Park Street, Uniontown",39.9246,-79.6827,
33,Laurel Highlands MS,Public Elementary and High Schools,"18-20 Hookton Avenue, Uniontown",39.8937,-79.7531,
34,Laurel Highlands SHS,Public Elementary and High Schools,"300 Bailey Ave, Uniontown",39.9071,-79.7101,
35,Marclay Sch,Public Elementary and High Schools,"111 Bruceton Road, Markleysburg",39.753871,-79.442661,
36,Menallen Sch,Public Elementary and High Schools,"7527 National Pike, Uniontown",39.9388,-79.7815,
37,Ben Franklin Sch,Public Elementary and High Schools,"351 Morgantown St, Uniontown",39.8915,-79.7335,
38,Uniontown Area SHS,Public Elementary and High Schools,"146 E Fayette St, Uniontown",39.8959,-79.7195,
39,Wharton Sch,Public Elementary and High Schools,"136 Elliotsville Road, Farmington",39.804,-79.5684,
40,Franklin Sch,Public Elementary and High Schools,"242 Buena Vista Road, Vanderbilt",40.0207,-79.7146,
41,A J McMullen Sch,Public Elementary and High Schools,"4773 National Pike, Markleysburg",39.7742,-79.4866,
42,Connellsville Area Career & Technical Ce,Public Elementary and High Schools,"720 Locust Street, Connellsville",40.025412,-79.570014,
43,Fayette County Career & Technical Instit,Public Elementary and High Schools,"175 Georges Fairchance Road, Uniontown",39.8614,-79.7411,
44,Lafayette El Sch,Public Elementary and High Schools,"303 Connellsville St, Uniontown",39.901383,-79.70594,
45,Lafayette MS,Public Elementary and High Schools,"303 Connellsville St, Uniontown",39.901383,-79.70594,
46,Belle Vernon Area MS,Public Elementary and High Schools,"500 Perry Ave, Belle Vernon",40.1129,-79.8324,
47,A L Wilson El Sch,Public Elementary and High Schools,"100 Al Wilson Drive, Fairchance",39.832198,-79.74447,
48,Brownsville Area El Sch,Public Elementary and High Schools,"7 Falcon Drive, Brownsville",40.008689,-79.894545,
49,Pennsylvania State University-Penn State Fayette- Eberly,Postsecondary Schools,"2201 University Drive, Lemont Furnace",39.947217,-79.657769,
50,Fayette County Career & Technical Institute Practical Nursing Program,Postsecondary Schools,"175 Georges Fairchance Rd, Uniontown",39.860976,-79.741718,
51,Laurel Business Institute,Postsecondary Schools,"11 East Penn St, Uniontown",39.90248,-79.724907,
52,West Virginia Junior College-United Career Institute,Postsecondary Schools,"Mount Braddock Road, Mount Braddock",39.950525,-79.652374,
53,Pennsylvania State University-Penn State Fayette- Eberly,Postsecondary Schools,"2201 University Drive, Lemont Furnace",39.947217,-79.657769,
