Category,Keyword,Description?
Sports and recreation,basketball court,
Sports and recreation,tennis court,
Sports and recreation,soccer field,
Sports and recreation,football field,
Sports and recreation,stadium,
Sports and recreation,playground,
Sports and recreation,golf course,
Sports and recreation,hockey,
Sports and recreation,rink,
Sports and recreation,swimming pool,
Sports and recreation,amusement park,
Culture and history,memorial,
Culture and history,statue,
Culture and history,theater,
Culture and history,museum,
Culture and history,music hall,
Culture and history,concert venue,
Culture and history,arts center,
Culture and history,heritage center,
Culture and history,events center,
Education and workforce development,Employment First Program,
Education and workforce development,Job Training,
Education and workforce development,Employment Center,
Education and workforce development,Job Corps,
Education and workforce development,Vocational training,
Healthcare,Health department,
Places of worship,Church,
Places of worship,Synagogue,
Places of worship,Temple,
Places of worship,Mosque,
Places of worship,Yeshiva,
Community service and assistance,Community Center,
Community service and assistance,soup kitchen,
Community service and assistance,food distribution center,
Community service and assistance,shelter,
Community service and assistance,library,
Nature and parks,Parks,
Food access,Farmers market,
Food access,Grocery store,
Transport and infrastructure,Bus stop,
Transport and infrastructure,Train station,
Transport and infrastructure,Bike rental,
Local business and economy,antique stores,
Local business and economy,banks,
