,asset_name,category,description,address,latitude,longitude,website,source_type,community_geo_id,asset_id,asset_type,generated_timestamp
0,Central Christian Academy,Education and workforce development,Private school,"145 MCGOVERN RD, HOUSTON",40.2305,-80.217721,,NCES Common Core of Data API,4250408,c0128298-c181-444d-8748-56b4fe38cb2d,Tangible,41:41.9
1,Faith Christian School,Education and workforce development,Private school,"524 E BEAU ST, WASHINGTON",40.1752,-80.230901,,NCES Common Core of Data API,4250408,b9bafd46-18ab-4eeb-8560-36859015438f,Tangible,41:41.9
2,St Patrick School,Education and workforce development,Private school,"200 MURDOCK ST, CANONSBURG",40.25745,-80.194341,,NCES Common Core of Data API,4250408,2c3985d7-6f68-4e63-8e66-4894a614ed93,Tangible,41:41.9
3,Madonna Catholic Regional School,Education and workforce development,Private school,"731 CHESS ST, MONONGAHELA",40.204957,-79.932573,,NCES Common Core of Data API,4250408,15d5dbae-944a-45dd-9b91-c8d7b0c06b06,Tangible,41:41.9
4,Calvary Chapel Christian School,Education and workforce development,Private school,"205 NEWTOWN AVE, FREDERICKTOWN",39.993347,-79.99542,,NCES Common Core of Data API,4250408,b487c125-28fc-466e-bc6f-db5ac8f62c29,Tangible,41:41.9
5,Cornerstone Mennonite School,Education and workforce development,Private school,"647 ELDERSVILLE RD, BURGETTSTOWN",40.35763,-80.466491,,NCES Common Core of Data API,4250408,f9b6bd65-4e77-4dcc-9d5c-3635a19fabf4,Tangible,41:41.9
6,First Love Christian Academy,Education and workforce development,Private school,"150 SUNSET BLVD, WASHINGTON",40.194042,-80.253415,,NCES Common Core of Data API,4250408,ee359248-4104-44cf-9ded-e0d26c05ea49,Tangible,41:41.9
7,Kindercare Learning Center,Education and workforce development,Private school,"124 WILHAVEN RD, MCMURRAY",40.28561,-80.118201,,NCES Common Core of Data API,4250408,0470a51e-23fe-4678-93ac-22c426dd376d,Tangible,41:41.9
8,Transformation Learning,Education and workforce development,Private school,"3214 CONSTITUTION BLVD, CLAYSVILLE",40.154284,-80.370083,,NCES Common Core of Data API,4250408,78e7da10-7bb3-4420-9058-897a98c281c8,Tangible,41:41.9
9,Merakey,Education and workforce development,Private school,"3 OAK ST, ELLSWORTH",40.110223,-80.016626,,NCES Common Core of Data API,4250408,1a96625c-2f28-466b-9f3c-4bf7c68c4bf2,Tangible,41:41.9
10,Southwood School,Education and workforce development,Private school,"342 LINDEN CREEK RD, CANONSBURG",40.242966,-80.139918,,NCES Common Core of Data API,4250408,bef84e3b-0bb4-42f2-8457-e300a40201c5,Tangible,41:41.9
11,Tec Education Center,Education and workforce development,Private school,"330 CENTRAL AVE, WASHINGTON",40.175509,-80.238038,,NCES Common Core of Data API,4250408,384c7166-eadd-4b44-a791-f1e02048d4b9,Tangible,41:41.9
12,Gwens Montessori School,Education and workforce development,Private school,"860 ALLISON AVE, WASHINGTON",40.18099,-80.260571,,NCES Common Core of Data API,4250408,53503828-a9ce-4be8-baa1-0d7f56295f79,Tangible,41:41.9
0,California Area El Sch,Education and workforce development,Public school,"40 Trojan Way, Coal Center",40.047648,-79.927039,,NCES Common Core of Data API,4250408,2ea1dd4f-bb15-441c-95ba-740164782a3a,Tangible,41:41.9
1,North Strabane Intrmd Sch,Education and workforce development,Public school,"20 Giffin Drive, Canonsburg",40.2615,-80.167,,NCES Common Core of Data API,4250408,0bf0a23c-f360-4cf8-be01-2e63092146db,Tangible,41:41.9
2,Avella Area Jshs,Education and workforce development,Public school,"1000 Avella Rd, Avella",40.2735,-80.418,,NCES Common Core of Data API,4250408,76d62594-8e88-42dc-a503-5770385aa69c,Tangible,41:41.9
3,Avella El Center,Education and workforce development,Public school,"1000 Avella Rd, Avella",40.2742,-80.4185,,NCES Common Core of Data API,4250408,3dd99c7b-6d18-41ae-bb1d-d654d1c19320,Tangible,41:41.9
4,Bentworth El Ctr,Education and workforce development,Public school,"100 Bearcat Dr, Bentleyville",40.1265,-80.0294,,NCES Common Core of Data API,4250408,1a4e07d2-8ee3-4127-b6d7-dafc571d1451,Tangible,41:41.9
5,Bentworth Shs,Education and workforce development,Public school,"75 Bearcat Dr, Bentleyville",40.1245,-80.0205,,NCES Common Core of Data API,4250408,b2f02803-f372-4889-aa6a-3f1545bf7dd2,Tangible,41:41.9
6,Bentworth Ms,Education and workforce development,Public school,"563 LINCOLN AVENUE, BENTLEYVILLE",40.126462,-80.029394,,NCES Common Core of Data API,4250408,f6e38b78-49b7-4651-98f0-c956d00dac25,Tangible,41:41.9
7,Bethlehem-Center Shs,Education and workforce development,Public school,"179 Crawford Rd, Fredericktown",40.0195,-80.0284,,NCES Common Core of Data API,4250408,08a390d7-0d7c-4352-adc7-c8583de6563d,Tangible,41:41.9
8,Bethlehem-Center Ms,Education and workforce development,Public school,"136 Crawford Rd, Fredericktown",40.0218,-80.0251,,NCES Common Core of Data API,4250408,335418da-b3cf-41c4-a795-106c024686ab,Tangible,41:41.9
9,Bethlehem-Center El Sch,Education and workforce development,Public school,"194 Crawford Rd, Fredericktown",40.0242,-80.028,,NCES Common Core of Data API,4250408,42eaba1e-5522-4bb6-87bd-4ffc3b3b0eea,Tangible,41:41.9
10,Burgettstown El Ctr,Education and workforce development,Public school,"100 Bavington Rd, Burgettstown",40.395596,-80.386811,,NCES Common Core of Data API,4250408,b0febf1e-4955-4ba8-b6c5-ca1309d21a20,Tangible,41:41.9
11,Burgettstown Ms/Hs,Education and workforce development,Public school,"104 Bavington Rd, Burgettstown",40.3973,-80.3862,,NCES Common Core of Data API,4250408,1d095bd0-f1d9-4d62-a892-f3f92719ab16,Tangible,41:41.9
12,California Area Shs,Education and workforce development,Public school,"11 Trojan Way, Coal Center",40.045357,-79.926514,,NCES Common Core of Data API,4250408,a269254f-bbe2-4ffb-9804-c26c5d447616,Tangible,41:41.9
13,California Area Ms,Education and workforce development,Public school,"40 Trojan Way, Coal Center",40.047648,-79.927039,,NCES Common Core of Data API,4250408,bcc4f650-7634-4785-8ce4-f1208cdb16a7,Tangible,41:41.9
14,Wylandville El Sch,Education and workforce development,Public school,"1254 Route 519, Eighty Four",40.2076,-80.1267,,NCES Common Core of Data API,4250408,1f9414d4-d7fe-46fc-b86c-209a0f09ec79,Tangible,41:41.9
15,Canon-Mcmillan Shs,Education and workforce development,Public school,"314 Elm St Extension, Canonsburg",40.2503,-80.1945,,NCES Common Core of Data API,4250408,080dd327-a8b4-4c7d-bbba-bbe9b218fe62,Tangible,41:41.9
16,South Central El,Education and workforce development,Public school,"230 S Central Ave, Canonsburg",40.2546,-80.1856,,NCES Common Core of Data API,4250408,a08cb576-8803-4c46-8af0-81477a095a7f,Tangible,41:41.9
17,Hills-Hendersonville El Sch,Education and workforce development,Public school,"50 Mayview Rd, Canonsburg",40.3081,-80.1298,,NCES Common Core of Data API,4250408,af5e25ca-182f-4f90-a52d-9f563ae87ee1,Tangible,41:41.9
18,Cecil Intrmd Sch,Education and workforce development,Public school,"3676 Millers Run Rd, Mc Donald",40.319,-80.224,,NCES Common Core of Data API,4250408,ddab4214-5cf4-4353-9fcb-15fb9217efe1,Tangible,41:41.9
19,Canonsburg Ms,Education and workforce development,Public school,"25 E College St, Canonsburg",40.2608,-80.1862,,NCES Common Core of Data API,4250408,1853663c-6eb3-4477-b1eb-ef3469e4ceaf,Tangible,41:41.9
20,Borland Manor El Sch,Education and workforce development,Public school,"30 Giffin Dr, Canonsburg",40.2593,-80.167,,NCES Common Core of Data API,4250408,0625958e-2bf2-48bd-8a1f-1c72b1eb6fb9,Tangible,41:41.9
21,Charleroi Area Hs,Education and workforce development,Public school,"100 Fecsen Dr, Charleroi",40.158,-79.9187,,NCES Common Core of Data API,4250408,6bf516e2-6f60-4303-b4ed-19b23b755534,Tangible,41:41.9
22,Charleroi Area Ms,Education and workforce development,Public school,"100 Fecsen Dr, Charleroi",40.1576,-79.9232,,NCES Common Core of Data API,4250408,1c84d19d-988a-4fdc-949b-051a300e9d25,Tangible,41:41.9
23,Charleroi Area El Ctr,Education and workforce development,Public school,"75 Fecsen Dr, Charleroi",40.1565,-79.9228,,NCES Common Core of Data API,4250408,bc57f12e-4e73-4336-872b-ea7fe00bbca0,Tangible,41:41.9
24,Allison Park El Sch,Education and workforce development,Public school,"803 McGovern Rd, Houston",40.2317,-80.2267,,NCES Common Core of Data API,4250408,28bd7b0f-defb-431c-9b21-a30b4dd67e2b,Tangible,41:41.9
25,Chartiers-Houston Jshs,Education and workforce development,Public school,"2050 W Pike St, Houston",40.2328,-80.2158,,NCES Common Core of Data API,4250408,cd45fd8e-da08-41e5-a9c4-9bee2d751db1,Tangible,41:41.9
26,Fort Cherry Jshs,Education and workforce development,Public school,"110 Fort Cherry Road, Mc Donald",40.345989,-80.280146,,NCES Common Core of Data API,4250408,4355da37-d4ef-4ba2-a78c-30aab6bde418,Tangible,41:41.9
27,Fort Cherry El Ctr,Education and workforce development,Public school,"110 Fort Cherry Road, Mc Donald",40.345251,-80.281463,,NCES Common Core of Data API,4250408,eda0ae6d-38be-4aef-aabd-55e92dadabf2,Tangible,41:41.9
28,Joe Walker El Sch,Education and workforce development,Public school,"2510 Park Ave, Washington",40.1205,-80.289,,NCES Common Core of Data API,4250408,cb93dadb-16f9-4d6b-a2a4-e5b7a0637957,Tangible,41:41.9
29,Claysville El Sch,Education and workforce development,Public school,"119 Main St, Claysville",40.1176,-80.4152,,NCES Common Core of Data API,4250408,0b93ed06-5647-44b6-93f3-c44793346b5b,Tangible,41:41.9
30,Mcguffey Hs,Education and workforce development,Public school,"86 McGuffey Drive, Claysville",40.1414,-80.3625,,NCES Common Core of Data API,4250408,33191e44-f9c3-408b-9372-785423e37ab9,Tangible,41:41.9
31,Mcguffey Ms,Education and workforce development,Public school,"86 McGuffey Drive, Claysville",40.1413,-80.3642,,NCES Common Core of Data API,4250408,f8c44130-9ddc-4f22-88f2-a8c1938e2129,Tangible,41:41.9
32,Mcmurray El Sch,Education and workforce development,Public school,"626 E McMurray Rd, McMurray",40.2808,-80.0772,,NCES Common Core of Data API,4250408,7ef81ee3-a595-4c9a-a26a-7281516310f3,Tangible,41:41.9
33,Bower Hill El Sch,Education and workforce development,Public school,"424 Bower Hill Road, Venetia",40.2608,-80.0649,,NCES Common Core of Data API,4250408,3f8c985c-1a19-4a35-86eb-bed3b2c571a9,Tangible,41:41.9
34,Pleasant Valley El Sch,Education and workforce development,Public school,"250 E McMurray Rd, McMurray",40.2669,-80.1197,,NCES Common Core of Data API,4250408,16e5fe1e-5d15-4bb4-b8c9-26cc4b4590bd,Tangible,41:41.9
35,Peters Twp Ms,Education and workforce development,Public school,"625 E McMurray Rd, McMurray",40.2818,-80.0818,,NCES Common Core of Data API,4250408,59c02ed1-8e55-4fe0-b615-2ccb58239710,Tangible,41:41.9
36,Peters Twp Hs,Education and workforce development,Public school,"264 E McMurray Rd, McMurray",40.2679,-80.1183,,NCES Common Core of Data API,4250408,f4d9b631-0c7c-4411-b55a-e8baac1e4f78,Tangible,41:41.9
37,Ringgold El Sch North,Education and workforce development,Public school,"3685 Finleyville-Elrama Rd, Finleyville",40.2557,-79.9935,,NCES Common Core of Data API,4250408,65f92bdf-e404-4330-8523-be7fde20f1f0,Tangible,41:41.9
38,Ringgold Ms,Education and workforce development,Public school,"2 Ram Dr, Monongahela",40.201248,-79.980205,,NCES Common Core of Data API,4250408,de4660ac-0cdc-44f5-bdcb-be4adf4bf6b9,Tangible,41:41.9
39,Ringgold Shs,Education and workforce development,Public school,"1 Ram Drive, Monongahela",40.2002,-79.9789,,NCES Common Core of Data API,4250408,df0330e2-4e87-4331-a831-78a285a7ce37,Tangible,41:41.9
40,Trinity West El Sch,Education and workforce development,Public school,"1041 Gabby Ave, Washington",40.1562,-80.2632,,NCES Common Core of Data API,4250408,1a364376-6127-49d2-a376-ecc9476c6068,Tangible,41:41.9
41,Trinity North El Sch,Education and workforce development,Public school,"225 Midlan Drive, Washington",40.2007,-80.2975,,NCES Common Core of Data API,4250408,46788f4a-0dee-4638-99f4-260f513a151d,Tangible,41:41.9
