,asset_name,category,description,address,latitude,longitude,website,source_type,community_geo_id,asset_id,asset_type,generated_timestamp
0,Conn Area Catholic School,Education and workforce development,Private school,"613 E CRAWFORD AVE, CONNELLSVILLE",40.026792,-79.580071,,NCES Common Core of Data API,4278528,19aa7a34-b6a1-4c75-a38a-ecf849cb25f6,Tangible,2024-02-15 16:13:13.758095
1,New Meadow Run School,Education and workforce development,Private school,"101 NEW MEADOW RUN DR, FARMINGTON",39.80356,-79.556781,,NCES Common Core of Data API,4278528,e4649e8f-8abb-488b-9b3b-91ec199cc0b6,Tangible,2024-02-15 16:13:13.758095
2,Verna Montessori School,Education and workforce development,Private school,"268 PRITTSTOWN RD, MOUNT PLEASANT",40.094165,-79.540454,,NCES Common Core of Data API,4278528,c2459a78-f7c2-48d8-9760-2dfb46467dc0,Tangible,2024-02-15 16:13:13.758095
3,Mt Carmel Christian School,Education and workforce development,Private school,"1231 MOUNT PLEASANT RD, MOUNT PLEASANT",40.098516,-79.555453,,NCES Common Core of Data API,4278528,c717d11b-8342-4e0d-804f-4f50bd67e769,Tangible,2024-02-15 16:13:13.758095
4,Mount Moriah Christian School,Education and workforce development,Private school,"30 CHURCH ST, SMITHFIELD",39.803629,-79.812238,,NCES Common Core of Data API,4278528,2fe5b5c8-5dca-4998-9358-4f8057f95335,Tangible,2024-02-15 16:13:13.758095
5,Bible Baptist Academy,Education and workforce development,Private school,"1 EVERGREEN TER, UNIONTOWN",39.9,-79.733851,,NCES Common Core of Data API,4278528,f637ab36-f3cd-408f-845e-9fedefdeb92f,Tangible,2024-02-15 16:13:13.758095
6,New Directions,Education and workforce development,Private school,"125 CHAFFEE ST, UNIONTOWN",39.893429,-79.703286,,NCES Common Core of Data API,4278528,825ebf5c-b3b8-4f28-aa5e-9787c43d4511,Tangible,2024-02-15 16:13:13.758095
7,Champion Christian School,Education and workforce development,Private school,"2166 INDIAN HEAD RD, CHAMPION",40.024083,-79.382033,,NCES Common Core of Data API,4278528,e6ce2517-43dd-4d1d-b817-cbcff321b0b5,Tangible,2024-02-15 16:13:13.758095
8,Ag Montessori School,Education and workforce development,Private school,"199 EDISON ST, UNIONTOWN",39.91761,-79.694531,,NCES Common Core of Data API,4278528,767d6c36-620b-46d9-8bad-10c9e6e5c263,Tangible,2024-02-15 16:13:13.758095
9,Chestnut Ridge Christian Academy,Education and workforce development,Private school,"115 DOWNER AVE, UNIONTOWN",39.90828,-79.731001,,NCES Common Core of Data API,4278528,7b7350a2-93f9-4f99-9fa5-f6cffc0d4501,Tangible,2024-02-15 16:13:13.758095
